cpse,material_code,description,specification,unit,category,ground_truth_cluster
GAIL,GAIL-MAT-31015,"VALVE, SAFETY RELIEF, 2.5 INCH, 10 BAR, BRONZE","2.5"", 10 BAR G, BRONZE CONSTRUCTION",NOS,VALVE,VLV-CL-009
BHEL,BHEL-94101130,CTRL VLV 10IN PN16 DI PNEUMATIC ACTUATED FLGD,"250MM, PN16, DUCTILE IRON, WITH ACTUATOR",NOS,VALVE,VLV-CL-010
NTPC,NTPC-GEN-55840,CONTROL VALVE 250MM NB PN16 DUCTILE IRON FLANGED,"10 INCH, PN 16, DI BODY GGG40, 4-20MA",NOS,VALVE,VLV-CL-010
SAIL,SAIL-BSP-81725,"10"" DUCTILE IRON CONTROL VALVE PN16 WITH POSITIONER","250 MM NB, PRESSURE CLASS PN16, DI",SET,VALVE,VLV-CL-010
ONGC,ONGC-M-75780,"10"" DI CONTROL VALVE CLASS PN-16 FLANGED ENDS","250MM, PN 16, DUCTILE IRON",EA,VALVE,VLV-CL-010
BHEL,BHEL-94101240,DIAPHRAGM VLV 3IN PN10 CI WEIR TYPE FLGD,"80MM NB, PN10, CAST IRON WEIR TYPE NEOPRENE LINED",NOS,VALVE,VLV-CL-011
GAIL,GAIL-MAT-31120,"VALVE, DIAPHRAGM, 3"", PN10, CAST IRON, WEIR TYPE","3 INCH (80MM), PN 10, RUBBER DIAPHRAGM",NOS,VALVE,VLV-CL-011
SAIL,SAIL-BSP-81830,"3"" CI DIAPHRAGM VALVE FLANGED PN10 NEOPRENE","80MM NB, PN10 RATING, CI BODY",NOS,VALVE,VLV-CL-011
NTPC,NTPC-GEN-55950,DIAPHRAGM VALVE 80MM NB PN10 CAST IRON FLANGED,"3 INCH, WEIR PATTERN, PN10 FLANGED",NOS,VALVE,VLV-CL-011
BHEL,BHEL-94101350,CRYOGENIC GATE VLV 4IN 300# SS316 EXT BONNET,"100MM NB, CLASS 300, EXTENDED BONNET CRYO GATE",NOS,VALVE,VLV-CL-012
ONGC,ONGC-M-75890,"4"" CRYOGENIC GATE VALVE CLASS-300 FLANGED SS316","4 INCH (100MM), 300 LBS, SS316 EXTENDED STEM",EA,VALVE,VLV-CL-012
GAIL,GAIL-MAT-31230,"VALVE, GATE, CRYOGENIC, 4"", 300#, SS316, FLANGED","100MM NB, 300#, EXTENDED BONNET LNG SERVICE",NOS,VALVE,VLV-CL-012
BHEL,BHEL-88200101,BRG BALL DGBB 6205-2RS 25X52X15,"BORE: 25MM, OD: 52MM, W: 15MM, RUBBER SEAL BOTH SIDES",NOS,BEARING,BRG-CL-001
ONGC,ONGC-B-41005,BEARING 6205 2RS DEEP GROOVE BALL 25 MM BORE,"25X52X15 MM, DOUBLE RUBBER CONTACT SEAL",EA,BEARING,BRG-CL-001
GAIL,GAIL-BRG-12001,"BALL BEARING, DEEP GROOVE, 6205-2RS, 25X52X15 MM",6205 2RS DGBB C3 CLEARANCE RUBBER SEALED,NOS,BEARING,BRG-CL-001
NTPC,NTPC-BRG-61010,DEEP GROOVE BALL BEARING 6205 2RS1 SKF/FAG EQUIV,"25MM X 52MM X 15MM, DUAL SEAL 2RS",NOS,BEARING,BRG-CL-001
SAIL,SAIL-BRG-70115,RADIAL BALL BEARING 6205-2RSR (25X52X15),"6205-2RS, ID 25, OD 52, B 15 MM",NOS,BEARING,BRG-CL-001
BHEL,BHEL-88200109,BRG ROLLER CYLINDRICAL NJ 205 ECP 25X52X15,"BORE: 25MM, OD: 52MM, W: 15MM, CYLINDRICAL ROLLER",NOS,BEARING,BRG-NM-001
ONGC,ONGC-B-41012,BEARING NJ-205 CYLINDRICAL ROLLER 25X52X15 MM,"NJ 205, 25MM BORE, ROLLER BEARING",EA,BEARING,BRG-NM-001
SAIL,SAIL-BRG-70125,CYLINDRICAL ROLLER BEARING NJ205 (25X52X15 MM),"NJ 205 E, ROLLER BEARING 25 MM SHAFT",NOS,BEARING,BRG-NM-001
BHEL,BHEL-88200210,BRG ROLLER SPHERICAL 22218 EK TAPER BORE,"90X160X40 MM, TAPERED BORE 1:12, SPHERICAL ROLLER",NOS,BEARING,BRG-CL-002
SAIL,SAIL-BRG-70230,SPHERICAL ROLLER BEARING 22218-E1-K (90X160X40),"ID 90MM, OD 160MM, WIDTH 40MM, TAPERED BORE",NOS,BEARING,BRG-CL-002
NTPC,NTPC-BRG-61120,22218 EK SPHERICAL ROLLER BEARING WITH ADAPTER SLEEVE,"90X160X40, TAPER BORE 22218K",EA,BEARING,BRG-CL-002
ONGC,ONGC-B-41130,BEARING 22218 EK / C3 SPHERICAL ROLLER 90 MM BORE,"90 MM ID, 160 MM OD, 40 MM WIDTH",NOS,BEARING,BRG-CL-002
BHEL,BHEL-88200315,BRG TAPER ROLLER 32210 50X90X24.75,"50X90X24.75 MM, TAPER ROLLER BEARING METRIC",NOS,BEARING,BRG-CL-003
GAIL,GAIL-BRG-12110,"TAPERED ROLLER BEARING 32210, 50X90X24.75 MM",32210 CONE AND CUP COMPLETE SET,NOS,BEARING,BRG-CL-003
SAIL,SAIL-BRG-70340,BEARING 32210 TAPER ROLLER (50X90X25),"50 MM BORE, TAPER ROLLER, WIDTH 24.75 MM",SET,BEARING,BRG-CL-003
NTPC,NTPC-BRG-61215,32210 TAPER ROLLER BEARING 50MM BORE HEAVY DUTY,"BORE 50 MM, OD 90 MM, TAPERED ROLLER",NOS,BEARING,BRG-CL-003
BHEL,BHEL-88200420,BRG ANGULAR CONTACT 7312 BECBP 60X130X31,"60X130X31 MM, 40 DEG CONTACT ANGLE, BRASS CAGE",NOS,BEARING,BRG-CL-004
ONGC,ONGC-B-41220,BEARING 7312 ACBB SINGLE ROW 60 MM BORE,"60X130X31 MM, ANGULAR CONTACT BALL BEARING",EA,BEARING,BRG-CL-004
GAIL,GAIL-BRG-12215,"BALL BEARING, ANGULAR CONTACT, 7312, 60X130X31 MM","7312 B, 40 DEGREE ANGLE, 60 MM SHAFT",NOS,BEARING,BRG-CL-004
NTPC,NTPC-BRG-61320,7312 BECBM ANGULAR CONTACT BEARING 60MM,"60X130X31, BRASS CAGE ANGULAR BALL BEARING",NOS,BEARING,BRG-CL-004
BHEL,BHEL-88200505,PLW BLK BRG UNIT UCP 208 40MM CAST IRON HOUSING,"40MM SHAFT DIA, 2-BOLT PILLOW BLOCK, CI HOUSING",NOS,BEARING,BRG-CL-005
SAIL,SAIL-BRG-70450,PILLOW BLOCK UNIT UCP 208 (40 MM BORE),UCP-208 HOUSING WITH INSERT BEARING UC208,SET,BEARING,BRG-CL-005
NTPC,NTPC-BRG-61430,UCP208 PEDESTAL BEARING UNIT 40MM SHAFT,PILLOW BLOCK HOUSING CAST IRON 40MM,NOS,BEARING,BRG-CL-005
GAIL,GAIL-BRG-12320,"BEARING UNIT, PILLOW BLOCK, UCP 208, 40 MM",40MM BORE INSERT BEARING IN CAST HOUSING,NOS,BEARING,BRG-CL-005
BHEL,BHEL-88200612,BRG THRUST BALL 51106 30X47X11,"30X47X11 MM, SINGLE DIRECTION THRUST BALL",NOS,BEARING,BRG-CL-006
ONGC,ONGC-B-41315,BEARING 51106 THRUST BALL 30 MM BORE,"30X47X11 MM, AXIAL THRUST BALL BEARING",EA,BEARING,BRG-CL-006
SAIL,SAIL-BRG-70520,THRUST BALL BEARING 51106 (30X47X11 MM),"ID 30, OD 47, THICKNESS 11 MM",NOS,BEARING,BRG-CL-006
BHEL,BHEL-88200718,BRG NEEDLE DRAWN CUP HK 2016 20X26X16,"20X26X16 MM, DRAWN CUP NEEDLE ROLLER",NOS,BEARING,BRG-CL-007
GAIL,GAIL-BRG-12410,"NEEDLE ROLLER BEARING HK 2016, 20X26X16 MM",HK2016 DRAWN CUP CAGE ASSEMBLY,NOS,BEARING,BRG-CL-007
NTPC,NTPC-BRG-61510,HK 2016 NEEDLE BEARING 20MM ID 26MM OD 16MM W,"20X26X16, OPEN END NEEDLE ROLLER",NOS,BEARING,BRG-CL-007
BHEL,BHEL-88200822,BRG BALL SELF ALIGN 1209 K 45X85X19 TAPER,"45X85X19 MM, TAPER BORE SELF ALIGNING BALL",NOS,BEARING,BRG-CL-008
SAIL,SAIL-BRG-70635,SELF ALIGNING BALL BEARING 1209-K (45X85X19),"BORE 45MM TAPERED, DOUBLE ROW BALL",NOS,BEARING,BRG-CL-008
ONGC,ONGC-B-41410,BEARING 1209 K SELF ALIGNING BALL 45 MM,"45X85X19 MM, TAPER BORE 1:12",EA,BEARING,BRG-CL-008
BHEL,BHEL-88200925,BRG BALL DGBB 6310 ZZ 50X110X27 STEEL SHIELD,"50X110X27 MM, METAL SHIELD BOTH SIDES",NOS,BEARING,BRG-CL-009
ONGC,ONGC-B-41520,BEARING 6310-ZZ DEEP GROOVE BALL 50 MM BORE,"50X110X27 MM, DUAL METAL SHIELD",EA,BEARING,BRG-CL-009
NTPC,NTPC-BRG-61618,6310 2Z BALL BEARING 50MM ID 110MM OD 27MM W,"50X110X27 MM, SHIELDED DGBB",NOS,BEARING,BRG-CL-009
GAIL,GAIL-BRG-12530,"BALL BEARING, DEEP GROOVE, 6310-ZZ, 50X110X27",6310 ZZ C3 METALLIC SHIELDED,NOS,BEARING,BRG-CL-009
BHEL,BHEL-88201015,BRG TOROIDAL ROLLER C 2212 60X110X28,"60X110X28 MM, CARB TOROIDAL ROLLER BEARING",NOS,BEARING,BRG-CL-010
SAIL,SAIL-BRG-70740,TOROIDAL ROLLER BEARING C 2212 (60X110X28),"60 MM BORE, CARB BEARING SKF EQUIV",NOS,BEARING,BRG-CL-010
NTPC,NTPC-BRG-61715,C 2212 COMPACT ROLLER BEARING 60MM SHAFT,"60X110X28 MM, TOROIDAL ROLLER TYPE",NOS,BEARING,BRG-CL-010
BHEL,BHEL-88201120,BRG CYL ROLLER NU 314 ECM 70X150X35,"70X150X35 MM, SINGLE ROW CYLINDRICAL ROLLER, BRASS CAGE",NOS,BEARING,BRG-CL-011
ONGC,ONGC-B-41630,BEARING NU-314 CYLINDRICAL ROLLER 70 MM BORE,"70X150X35 MM, HEAVY DUTY ROLLER BEARING",EA,BEARING,BRG-CL-011
SAIL,SAIL-BRG-70850,CYLINDRICAL ROLLER BEARING NU314 (70X150X35),"70 MM ID, 150 MM OD, 35 MM WIDTH",NOS,BEARING,BRG-CL-011
NTPC,NTPC-BRG-61825,NU 314 ECP ROLLER BEARING 70MM SHAFT,"70X150X35 MM, CYLINDRICAL ROLLER BEARING",NOS,BEARING,BRG-CL-011
BHEL,BHEL-88201210,LINEAR BRG BUSH LMK 25 UU 25MM SQUARE FLANGE,"25MM SHAFT, SQUARE FLANGED LINEAR BALL BUSHING",NOS,BEARING,BRG-CL-012
GAIL,GAIL-BRG-12640,"LINEAR BALL BUSHING, LMK 25 UU, 25 MM SHAFT",LMK25UU LINEAR MOTION BEARING WITH FLANGE,NOS,BEARING,BRG-CL-012
NTPC,NTPC-BRG-61930,25MM SQUARE FLANGE LINEAR BEARING LMK25UU,"25MM BORE, FLANGED LINEAR BUSH",NOS,BEARING,BRG-CL-012
BHEL,BHEL-77300101,PUMP CENTRIFUGAL END SUCTION 50 M3/HR 40M HEAD 15KW,"FLOW 50 M3/HR, HEAD 40M, 15 KW MOTOR, CI CASING SS IMP",SET,PUMP,PMP-CL-001
ONGC,ONGC-P-81010,END SUCTION CENTRIFUGAL PUMP 50M3/HR @ 40M TDH 15 KW,"CAPACITY: 50 M3/HR, HEAD: 40 METERS, 15KW 3-PHASE MOTOR",SET,PUMP,PMP-CL-001
GAIL,GAIL-PMP-20101,"PUMP, CENTRIFUGAL, 50 M3/HR, 40M HEAD, 15 KW MOTOR, CAST IRON","50 CUBIC M/HR, 40 METERS HEAD, 15 KW 2900 RPM",SET,PUMP,PMP-CL-001
NTPC,NTPC-PMP-71020,50 M3/HR CENTRIFUGAL WATER PUMP 40M HEAD 15KW MOTOR,"50 M3/HR @ 40M, 15 KW INDUCTION MOTOR, CAST IRON/SS",SET,PUMP,PMP-CL-001
SAIL,SAIL-PMP-90110,CENTRIFUGAL WATER PUMP 50 M3/H HEAD 40 MTRS 15 KW,"FLOW: 50 M3/HR, HEAD: 40 M, POWER: 15 KW",SET,PUMP,PMP-CL-001
BHEL,BHEL-77300109,PUMP MULTISTAGE CENTRIFUGAL 50 M3/HR 120M HEAD 37KW,"50 M3/HR, 120M HEAD, 37 KW MOTOR, MULTISTAGE HIGH PRESSURE",SET,PUMP,PMP-NM-001
ONGC,ONGC-P-81018,MULTISTAGE BOOSTER PUMP 50M3/HR @ 120M TDH 37 KW,"50 M3/HR CAPACITY, 120 METERS HEAD, 37KW MOTOR",SET,PUMP,PMP-NM-001
NTPC,NTPC-PMP-71029,HIGH HEAD MULTISTAGE PUMP 50 M3/HR 120M 37KW,"50 M3/HR, HEAD 120M, MOTOR RATING 37 KW",SET,PUMP,PMP-NM-001
BHEL,BHEL-77300215,PUMP GEAR POSITIVE DISPLACEMENT 10 LPM 10 BAR LUBE OIL,"10 LPM, 10 BAR G, EXTERNAL GEAR PUMP FOR OIL",NOS,PUMP,PMP-CL-002
ONGC,ONGC-P-81120,LUBE OIL ROTARY GEAR PUMP 10 LPM @ 10 KG/CM2,"FLOW 10 LPM, DISCHARGE PR 10 BAR, CI CASING",SET,PUMP,PMP-CL-002
SAIL,SAIL-PMP-90225,10 LPM 10 BAR ROTARY GEAR PUMP FOR LUBRICATION,"10 LITRES/MIN, 10 BAR, GEAR TYPE PD PUMP",NOS,PUMP,PMP-CL-002
GAIL,GAIL-PMP-20215,"PUMP, GEAR, 10 LPM, 10 BAR, LUBE OIL TRANSFER","10 LPM AT 10 BAR PRESSURE, CAST IRON GEARS",SET,PUMP,PMP-CL-002
BHEL,BHEL-77300320,PUMP SUBMERSIBLE DEWATERING 30 M3/HR 15M HEAD 3.7KW,"30 M3/HR, 15M HEAD, 3.7 KW (5 HP) SUBMERSIBLE MOTOR",NOS,PUMP,PMP-CL-003
NTPC,NTPC-PMP-71230,30 M3/HR SUBMERSIBLE SUMP PUMP 15M HEAD 3.7 KW,"DISCHARGE 30 M3/HR, HEAD 15 M, 3.7 KW 415V",SET,PUMP,PMP-CL-003
SAIL,SAIL-PMP-90335,DEWATERING SUBMERSIBLE PUMP 30 M3/H HEAD 15M 5HP,"30 M3/HR, 15 METERS, 3.7 KW SUBMERSIBLE MOTOR",NOS,PUMP,PMP-CL-003
GAIL,GAIL-PMP-20320,"PUMP, SUBMERSIBLE, SUMP, 30 M3/HR, 15M, 3.7 KW","30 M3/HR CAPACITY, 15M HEAD, SS CASING",NOS,PUMP,PMP-CL-003
BHEL,BHEL-77300410,PUMP PROGRESSIVE CAVITY SCREW 15 M3/HR 6 BAR NITRILE,"15 M3/HR, 6 BAR, SINGLE SCREW PROGRESSIVE CAVITY",SET,PUMP,PMP-CL-004
ONGC,ONGC-P-81230,PROGRESSIVE CAVITY SLUDGE PUMP 15 M3/HR 6 KG/CM2,"15 M3/HR, 6 BAR G, NITRILE STATOR SS ROTOR",SET,PUMP,PMP-CL-004
SAIL,SAIL-PMP-90440,15 M3/HR 6 BAR PC SCREW PUMP FOR SLUDGE HANDLING,"15 CUBIC M/HR, 6 BAR, HELICAL ROTOR STATOR",SET,PUMP,PMP-CL-004
NTPC,NTPC-PMP-71340,EFFLUENT PROGRESSIVE CAVITY PUMP 15 M3/HR 6 BAR,"15 M3/HR @ 6 BAR, ETP SLUDGE PUMP",SET,PUMP,PMP-CL-004
BHEL,BHEL-77300525,PUMP VERTICAL TURBINE 500 M3/HR 25M HEAD 55KW CW,"500 M3/HR, 25M HEAD, 55 KW MOTOR, VERTICAL WET PIT",SET,PUMP,PMP-CL-005
NTPC,NTPC-PMP-71450,VERTICAL TURBINE COOLING WATER PUMP 500 M3/HR 25M 55KW,"500 M3/HR @ 25M, 55 KW, SUSPENDED LENGTH 4M",SET,PUMP,PMP-CL-005
SAIL,SAIL-PMP-90550,500 M3/H 25M HEAD VERTICAL TURBINE PUMP 55 KW,"CAPACITY 500 M3/HR, HEAD 25M, 55 KW MOTOR",SET,PUMP,PMP-CL-005
BHEL,BHEL-77300615,PUMP DOSING DIAPHRAGM 50 LPH 8 BAR PTFE HEAD,"0-50 LPH, 8 BAR, PTFE DIAPHRAGM, CHEMICAL METERING",NOS,PUMP,PMP-CL-006
ONGC,ONGC-P-81345,CHEMICAL INJECTION DIAPHRAGM PUMP 50 LPH @ 8 BAR PTFE,"50 LITRES/HR, 8 BAR, ELECTRONIC DOSING",EA,PUMP,PMP-CL-006
GAIL,GAIL-PMP-20430,"PUMP, CHEMICAL DOSING, 50 LPH, 8 BAR, PTFE DIAPHRAGM","0-50 LPH VARIABLE STROKE, 8 BAR G",NOS,PUMP,PMP-CL-006
NTPC,NTPC-PMP-71560,50 LPH 8 BAR PTFE DIAPHRAGM CHEMICAL METERING PUMP,"50 LPH, 8 BAR, MOTOR DRIVEN DIAPHRAGM",SET,PUMP,PMP-CL-006
BHEL,BHEL-77300730,PUMP BOILER FEED BFP 80 M3/HR 350M HEAD 110KW,"80 M3/HR, 350M HEAD, 110 KW MOTOR, MULTISTAGE RING SECTION",SET,PUMP,PMP-CL-007
NTPC,NTPC-PMP-71670,BOILER FEED WATER PUMP 80 M3/HR 350M HEAD 110 KW,"80 M3/HR @ 350M TDH, BFP MULTISTAGE FOR HIGH PR STEAM",SET,PUMP,PMP-CL-007
SAIL,SAIL-PMP-90660,BFP MULTISTAGE PUMP 80 M3/H 350M 110 KW FEED WATER,"80 M3/HR, HEAD 350 M, 110 KW MOTOR",SET,PUMP,PMP-CL-007
BHEL,BHEL-77300820,PUMP HORIZONTAL SPLIT CASE FIRE 2000 GPM 10 BAR,"2000 GPM (454 M3/HR), 10 BAR (100M HEAD), DIESEL/MOTOR",SET,PUMP,PMP-CL-008
ONGC,ONGC-P-81460,HORIZONTAL SPLIT CASE FIRE WATER PUMP 2000 GPM @ 10 BAR,"2000 US GPM, 10 BAR DISCHARGE PRESSURE, HSC",SET,PUMP,PMP-CL-008
GAIL,GAIL-PMP-20540,"PUMP, FIRE WATER, SPLIT CASE, 2000 GPM, 10 BAR","454 M3/HR (2000 GPM), 100M HEAD, DUAL SUCTION HSC",SET,PUMP,PMP-CL-008
BHEL,BHEL-77300910,PUMP TRIPLEX PLUNGER HIGH PR 50 LPM 150 BAR,"50 LPM, 150 BAR G, CERAMIC PLUNGERS, SS HEAD",SET,PUMP,PMP-CL-009
ONGC,ONGC-P-81570,HIGH PRESSURE TRIPLEX PLUNGER PUMP 50 LPM @ 150 BAR,"50 LITRES/MIN, 150 KG/CM2, RECIPROCATING",SET,PUMP,PMP-CL-009
SAIL,SAIL-PMP-90770,50 LPM 150 BAR TRIPLEX HIGH PRESSURE PLUNGER PUMP,"FLOW 50 LPM, PR 150 BAR, PLUNGER TYPE",SET,PUMP,PMP-CL-009
BHEL,BHEL-77301015,PUMP LIQUID RING VACUUM LRVP 100 M3/HR 33 MBAR,"100 M3/HR SUCTION, 33 MBAR ABSOLUTE, CI BODY BRONZE ROTOR",SET,PUMP,PMP-CL-010
GAIL,GAIL-PMP-20650,"PUMP, VACUUM, LIQUID RING, 100 M3/HR, 33 MBAR ABS","100 M3/HR, ULTIMATE VACUUM 33 MBAR, WATER SEALED",SET,PUMP,PMP-CL-010
SAIL,SAIL-PMP-90880,100 M3/HR LIQUID RING VACUUM PUMP (33 MBAR),"SUCTION CAPACITY 100 M3/HR, CAST IRON LRVP",NOS,PUMP,PMP-CL-010
BHEL,BHEL-77301120,PUMP BOREWELL SUBMERSIBLE 25 M3/HR 120M HEAD 11KW,"25 M3/HR, 120M HEAD, 11 KW 15HP 415V MULTISTAGE SUBMERSIBLE",SET,PUMP,PMP-CL-011
NTPC,NTPC-PMP-71780,25 M3/HR 120M HEAD BOREWELL PUMP 11 KW MOTOR,"FLOW: 25 M3/HR, HEAD: 120 M, 11 KW SUBMERSIBLE MOTOR",SET,PUMP,PMP-CL-011
SAIL,SAIL-PMP-90990,DEEP WELL SUBMERSIBLE PUMP 25 M3/H 120M 15 HP,"25 M3/HR @ 120M HEAD, 11 KW WATER COOLED",SET,PUMP,PMP-CL-011
ONGC,ONGC-P-81680,SUBMERSIBLE BOREWELL WATER PUMP 25 M3/HR @ 120M TDH,"25 M3/HR, 120 METERS, 11 KW 3-PHASE",SET,PUMP,PMP-CL-011
BHEL,BHEL-77301230,PUMP CANNED MOTOR SEALLESS 15 M3/HR 30M HASTELLOY,"15 M3/HR, 30M HEAD, SEALLESS ZERO LEAKAGE, HASTELLOY-C",SET,PUMP,PMP-CL-012
GAIL,GAIL-PMP-20760,"PUMP, CANNED MOTOR, SEALLESS, 15 M3/HR, 30M, HASTELLOY","15 M3/HR @ 30M, HAST-C CASING, CORROSIVE SERVICE",SET,PUMP,PMP-CL-012
